,Title,IMDB ID,Date of release,Genre1,Genre2,Genre3,Language,Actor1,Actor2,Actor3,Crew1,Crew2,Crew3,Plot summary,IMDB rating,IMDB votes,IMDB URL
10,Alag: He Is Different.... He Is Alone...,0813996,2006,Action,Drama,Fantasy,Hindi,Akshay Kapoor,Dia Mirza,Yatin Karyekar,NA,NA,NA,"Widower Hemant Rastogi lives in scenic Mahabaleshwar, seemingly alone. One night he has a heart attack and passes away. When the Police search his residence, they find a young man in the basement of the house, a man whose eyes are very sensitive to any kind of light, whose name is Tejas, the only son of Hemant, who has been sheltered, and has never stepped out. The Police ask Purva Rana of P.R. Institute, that rehabilitates young men who have taken to crime, to look after Tejas, whose life has been influenced by books that his dad provided for him. Tejas proves that he has power of mind over matter, and thus proves to be a misfit in the institute, resulting in the near fatal accident of a security guard, Singh, and the death of a fellow student, John. But Tejas redeems himself in the eyes of Purva's wealthy dad, Pushkar, when he is able to wake his wife, Gayetri Rana from a coma-like condition. It looks like Tejas has wormed his way into the Rana household, but this is short lived as a number of doctors are curious and would to carry out some experiments on him. When Tejas and Pushkar both refuse to be part of these experiments, Tejas is abducted and held in a glass chamber by Dr. Richard Dyer, who wants to control his mind for his own benefit. The question remains will Tejas use his skills and powers to overcome Dr. Dyer or will he be treated as a guinea pig to further the personal goals of Dr. Dyer.",3.8,1214,https://www.imdb.com/title/tt0813996/
11,Disco Dancer,0208903,1982,Drama,Musical,Romance,Hindi,Mithun Chakraborty,Kim,Kalpana Iyer,NA,NA,NA,Anil is a performer dancing and singing on streets he and his mother are accused of stealing a guitar by P.N Oberoi out of shame they leave from Bombay.Years later in Goa Anil is singing and dancing at small functions and has dream of making it big.Sam Oberoi spoil brat of P.N Oberoi is big name in music world.David Brown his manager quits his job due to his arrogant behavior and challenges Sam he will create a new star opposite him.Mr Brown notices Anil and gives him a break where Sam's sister Rita is ready with her friends to spoil the event.When Anil starts dancing except Rita everyone follows him and show turns to be hit. Mr Brown arranges a show for him in Bombay the city where he and his mother was insulted.Sam and P.N Oberoi send goons to stop Anil from reaching the show.But he manages to reach and his performances becomes a big hit soon Anil turns into Jimmy a craze for every young star this destroys Sam's career.Rita realizes her mistake and teams up with Jimmy.But her father and brother want Jimmy to be finished and can go to any extent.,6.5,1342,https://www.imdb.com/title/tt0208903/
12,Khamoshiyan,3886444,2015,Drama,Horror,Romance,Hindi,Gurmeet Choudhary,Ali Fazal,Sapna Pabbi,Narendra Haldankar,NA,NA,NA,4.0,1272,https://www.imdb.com/title/tt3886444/
13,Ajooba,0101283,1991,Action,Adventure,Comedy,Hindi,Amitabh Bachchan,Dimple Kapadia,Rishi Kapoor,Dileep Singh Rathore,NA,NA,"This is a story of Ajooba, the masked legend, who was treated as the only protector of the people of Baharistan. Ajooba is none other than Ali, the real heir to the kingdom of Baharistan. Unfortunately for Ali, when he was just born, his father and mother were overthrown by the evil designs of the Vazir. Ali survived as destined and was brought up by a blacksmith who was unaware of Ali's real identity. In the guise of Ajooba, Ali takes up the very difficult task of finding his lost parents and then to re-instate them to the throne with great honour.",5.3,1249,https://www.imdb.com/title/tt0101283/
14,Maa Tujhhe Salaam,0307116,2002,Action,Drama,NA,Hindi,Sunny Deol,Tabu,Arbaaz Khan,NA,NA,NA,Major Pratab Singh works in the Indian army and he and his battalion has been assigned duty near the Indo-Pakistan border. There duty mainly consists of eliminating any terrorists trying to cross the Indian border. A Pakistan leader Gul Mustan and well known Lala is plotting to liberate Kashmir from India so that they can take control in there own way but things does not go accordingly as one loyalist of Lala; Albaksh begins to leak important information about there plans to the Indian army. And thus there begins a saga of combat between the army and the terrorists leaving many casualties on both sides.,3.5,1171,https://www.imdb.com/title/tt0307116/
15,Junglee,7463730,2019,Action,Adventure,Thriller,Hindi,Vidyut Jammwal,Lars Kjeldsen,Asha Bhat,Yogesh Bansode,Shivani Shivaji Bhosale,Pattamawan Chaiwattananan,Dipankar Nair runs a Elephant sanctuary but things have turned bad as hunters are frequently killing Elephants for their tusks.His son Raj a Vet in Mumbai arrives for 10th death anniversary of his mother befriends his childhood animals Bhola and Didi.Keshav an hunter has an eye on huge tusks of Bhola which could fetch good money.Keshav kills Bhola for his tusks and also Dipankar who tries to save him.The cops arrive at funeral of Dipankar and falsely implicate him of being with hunters and also frame Raj for it.,5.6,1760,https://www.imdb.com/title/tt7463730/
16,3G,9484372,2016,Drama,NA,NA,English,Shauna Blaize,NA,NA,NA,NA,NA,NA,NA,NA,https://www.imdb.com/title/tt9484372/
17,Jodi Breakers,2191721,2012,Comedy,Musical,Romance,Hindi,Bipasha Basu,Helen,Pradeep Kharab,Sheena Dsouza,NA,NA,Sid and Sonali help people in getting divorce who are not happy in their married life while in the case of Mark and Maggie Pereira it is then Sonali will come to know about Sid's intentions which will seriously affect their own relationship.,3.5,1148,https://www.imdb.com/title/tt2191721/
18,I See You,0857381,2006,Comedy,Drama,Fantasy,Hindi,Arjun Rampal,Vipasha Agarwal,Chunky Panday,NA,NA,NA,"Dr. Shivani Dutt lives a wealthy lifestyle in London, England, along with her widowed mom, and a dog named Kaali. She works at the Thomwell Hospital. One day she notices that some of her fellow doctors indulge in organ trafficking, and decides to expose them. Before she could do anything, her car has an accident, and she ends up in the very same hospital as a comatose patient. Her condition remains serious, and she continues to be on life-support systems, without any chance of future recovery. The doctors recommend to her mother that the life support systems be turned off. Unable to speak for herself Shivani's troubled spirit arises and attempts to find someone to convince them about her situation. The only one who can understand her is egoistical 'British Raj' TV host, Raj Jaiswal, who believes that he is irresistible to women. A disbelieving Raj is finally convinced, and together with Akshay Kapoor, they decide to abduct Shivani's body from the hospital to his residence. Watch what happens when events spiral out of control and a Bollywood-speaking Police Inspector named John Smith starts taking a special interest in Raj and the case of Shivani's missing body.",4.1,1149,https://www.imdb.com/title/tt0857381/
19,Baaghi: A Rebel for Love,0099080,1990,Action,Drama,Romance,Hindi,Salman Khan,Nagma,Shakti Kapoor,NA,NA,NA,"Saajan is a college youth, enjoying his life, meets with Kajal the girl of his dreams at a brothel. Kajal is an innocent victim of Dhanraj, who runs this brothel. Saajan eventually falls in love with Kajal, but this love affair is not acceptable to the society, which includes his parents Mr. and Mrs. Sood. Saajan's dad Col. Sood wants his son to join the Indian army. On the other side, this relationship of love is also not acceptable to Dhanraj, since he doesn't want any of his brothel girls to go into normal respectable society. Trapped between both, Saajan, along with his friends, rescues his love from the brothel. But the question remains: Will Saajan's parents accept him along with Kajal or Will Dhanraj's evilness overcome the couple's love?",5.7,1498,https://www.imdb.com/title/tt0099080/
20,Ek Doctor Ki Maut,0345177,1990,Biography,Drama,NA,Hindi,Shabana Azmi,Pankaj Kapur,Irrfan Khan,Shatadal Mitra,NA,NA,"After years of painstaking research at the cost of his domestic pleasure, Dr. Dipankar Roy discovers a vaccine for leprosy. The news is flashed over television and overnight, an insignificant junior doctor receives international recognition. Professional jealousy and abuse of power threaten Dr. Roy, even as the Secretary of Health reprimands him for breaking the news to the press. He is asked to report to the Director of Health. Professional colleagues Dr. Arijit Sen and Dr. Ramananda invite him to a lecture but it is merely a pretence to humiliate him. Dr. Roy suffers a mild heart attack but he refuses to go to the hospital. His wife and few others like Dr. Kundu stand by Dr. Roy, but the harassment continues; a letter from an American foundation is suppressed and Dr. Roy transferred to a remote village. The last straw is two American doctors receiving credit for discovering the same vaccine. Dr. Roy is shattered.",8.3,1370,https://www.imdb.com/title/tt0345177/
21,Love Sonia,3823392,2018,Drama,NA,NA,Hindi,Abhishek Bharate,Riya Sisodiya,Mrunal Thakur,Keith Balser,Chase Cushing-Murray,Joseph Fedo,NA,7.4,1687,https://www.imdb.com/title/tt3823392/
22,First Rank,0154183,1990,Action,Drama,Sport,Hindi,Dev Anand,Aamir Khan,Ekta Sohini,NA,NA,NA,"India has lost two of the three one day internationals against Australia, and has lost all hope of winning the three-test series, mostly due to the dismal performance of the arrogant Cricket Captain, Ranvir Singh alias Ronny. Ronny is also the brother of the Chair of the Cricket Selection Committee. This Committee decides to replace Ronny with a newcomer named Sunny, whereupon an embittered Ronny seeks revenge. The third match is being planned in the Wankhede Stadium in Bombay, and a group of terrorists announces that they will blow the stadium up with the estimated 50,000 spectators, unless the Indian army withdraws its peace-keeping force in the region. The Chair of the Selection Committee takes control as the Director General of Police, launches an investigation, and arrests the culprits, who have been employed with the stadium for many years. But the problems are not over yet, for the stadium is still packed with explosives, and the remote control is in the hands of Ronny - who has decided to kill Sunny at any cost.",5.3,1136,https://www.imdb.com/title/tt0154183/
23,Keemat: They Are Back,0286752,1998,Action,Comedy,Drama,Hindi,Akshay Kumar,Raveena Tandon,Saif Ali Khan,Prasanjeet Chanda,Nitin Kulkarni,Tapan Roy,"Ajay and Dev are two small-time crooks. One day they accidentally killed a man named Mohan Tripathi. With a good and pleasant mind they find out the address of the decreased and pays a visit to his village. Only to see the young man's family eagerly waiting for his return from abroad, seeing the family's plight they decides to lie about the young man and told the family that he is alive but was delayed because of some urgent work. Days and months passed and Mohan did not showed up towards his family and both young men continues to lie to them. The question remain what will be the outcome of Ajay and Dev when the family learns that there son is no longer alive and that both are his killers?",5.7,1184,https://www.imdb.com/title/tt0286752/
24,Jis Desh Mein Ganga Rehta Hain,0263491,2000,Comedy,Crime,Drama,Hindi,Govinda,Sonali Bendre,Rinke Khanna,Rangarao Chougule,NA,NA,"Gangaram alias Ganga has been raised by his foster parents who reside in the village thus he gets accustom to village life. 24 years later his birth parents multi-millionaire Avinash and his wife Radha comes to ask him to move into their bungalow located in the city to which Ganga agrees and goes to bid farewell to his friends and girlfriend Saawni. While in the city Ganga is introduced to his elder brother, Milind, his wife, Supriya, and his younger brother; Ganga finds it very hard to adjust to the city life and is often scuffed at. Avinash arranges his marriage with equally wealthy Tina to which he agrees although he is not comfortable with this marriage as he is still in love with Saawni; meanwhile Ganga's honest policy gets him and his new found family into further problems.",4.9,1224,https://www.imdb.com/title/tt0263491/
25,Umrika,2614722,2015,Comedy,Drama,NA,Hindi,Aashish Bhatt,Uplaksh Kochhar,Megh Pant,Pravin Chaudhari,Subhash Maskara,Purvisha Peshwe,"A small village in India is invigorated when one of their own travels to America (aka, UMRIKA) and details his adventures through letters home, sparking community debate and inspiring hope. But when the letters mysteriously stop coming, his younger brother Rama (Suraj Sharma) sets out on a journey to find him. With the help of his best friend Lalu (Tony Revolori), Rama retraces his brother's path to find himself charting one of his own. Set in the mid-1980s, UMRIKA is a funny and meaningful story of the lengths taken to realize one's dreams.",6.6,1396,https://www.imdb.com/title/tt2614722/
26,Tum Bin 2,5717110,2016,Drama,Romance,NA,Hindi,Neha Sharma,Aditya Seal,Aashim Gulati,NA,NA,NA,"This film centers around the life of Taran (Neha Sharma), who loses her fiance Amar in a skiing accident. Her life changes when she meets Shekhar, who has seen the best and worst of times. The story explores old friendship, newfound love and a difficult decision.",4.8,1225,https://www.imdb.com/title/tt5717110/
27,Sainik,0290839,1993,Action,Drama,Romance,Hindi,Akshay Kumar,Ashwini Bhave,Farheen,Pradeep Khandelwal,Ajay Verma,NA,"Lieutenant Suraj Dutt successfully fails an arms dealing on the border.He soon comes on leave and goes to meet his sister Mini where he comes across Alka.Alka and Sooraj soon fall in love and get married life is going very cheerful to everyone in between Minnie's marriage gets arranged to Pankaj son of Gajraj Chaudhary.Suraj notices that Pankaj is the same person who was dealing with arms on the border and gets him and Gajraj arrested.Minnie is left broken heart but Vijay comes froward to accept her and their a marriage is arranged but before that Suraj has to leave for a mission.Few days later his father Yashpal Dutt ,Alka and Minnie get the news of Suraj's death from different people but all decide to keep it as a secret from everyone as his sudden death might shatter the family.",6.1,1187,https://www.imdb.com/title/tt0290839/
28,Aamdani Atthanni Kharcha Rupaiya,0305173,2001,Comedy,Drama,Family,Hindi,Govinda,Juhi Chawla,Tabu,Gopal,Laxman,Raju,"Jhoomri and her husband, Bhimsha, move into a new neighbourhood. Their immediate neighbours are three squabbling couples, namely Vijay and Anjali who are newly married; Appu Khote and Vimla, who are married and have 4 children; and Ravi and Meena, who are also married and have one child. With their wages unable to keep up with inflation and high cost of living, unable to pay even rent to the landlord, B.K. Kakkad, the wives decide to seek employment to augment their income, with hilarious results from their spouses, who will go to any extent to keep their wives at home, even if means to bring a dancing girl home to cook and look after the children!!",4.8,1290,https://www.imdb.com/title/tt0305173/
29,Armaan,0331851,2003,Drama,Family,Romance,Hindi,Amitabh Bachchan,Anil Kapoor,Preity Zinta,Navin Kenkre,NA,NA,"Dr. Siddharth Sinha is a dedicated selfless doctor who dreams of building a state-of-the-art hospital with all the modern instruments and amenities for patient care . His foster son Akash shares his dream . Akash falls in love with Neha Mathur , an anaesthetist in the same hospital . In a friend's party , Akash meets Sonia who is a spoilt daughter of a millionaire Gulshan Kapoor . Sonia develops an infatuation for Akash . Gulshan Kapoor proposes to Dr. Siddharth Sinha that he will donate a big sum of money to his hospital , on the condition that Akash marries Sonia . Dr. Siddharth Sinha declines but dies of a heart attack a few days later . Burdened with fulfilling his father's dream , Akash decides to marry Sonia sacrificing his own love . But even after marriage Sonia is jealous of Neha and constantly accuses Akash of infidelity which leaves him in a dilemma , torn between two women .",5.2,1121,https://www.imdb.com/title/tt0331851/
30,Irada,6467738,2017,Drama,Mystery,Thriller,Hindi,Naseeruddin Shah,Arshad Warsi,Divya Dutta,Sikander Ahmad,Prasad Keer,Liyakat Ali Khan,A mysterious bomb blast in a business tycoon's factory prompts the state CM to hire an NIA officer. He meets an ex-army man seeking revenge for his dead daughter and a journalist demanding justice for her slain boyfriend. Nothing is what it seems.,6.3,1336,https://www.imdb.com/title/tt6467738/
31,Waqt,0059893,1965,Drama,Romance,NA,Hindi,Sunil Dutt,Sadhana,Raaj Kumar,R.G. Gaekwad,Dadoo Laxman,NA,"Members of a family are separated in a natural disaster. Several years down the line, they aren't united but their lives are strangely interconnected.",7.8,1287,https://www.imdb.com/title/tt0059893/
32,Rudraksh,0366985,2004,Action,Fantasy,Sci-Fi,Hindi,Sanjay Dutt,Bipasha Basu,Sunil Shetty,NA,NA,NA,"Healing powers that science cannot explain and voodoo practices that defy all logic are just some of the instances of paranormal activity that Dr. Gayatri [Bipasha Basu] is busy investigating. Her experiments bring her with her team of fellow scientists from America to India where they encounter the gifted Varun [Sanjay Dutt].Varun has inexplicable paranormal powers, yet is highly disciplined and evolved. His unusual ability of taking away pain and affliction from his subjects fascinates Gayatri and he becomes a willing subject of her cause. Gayatri's unusual experiments suddenly hurtle Varun towards guessing the existence of a dark power that is hidden and evil. What is the force all about? And why does it wage a battle against Varun? And how is it linked to Ravan's Rudrakash? Hidden away, vanished in the hoary mists of time is the most unusual Rudraksh. Legend has it that it carried in its folds seed sounds that promised to mutate humans into a new species. This was not a normal Rudraksh worn by ordinary people. In the language of science, it was a multi-dimensional hologram in the form of a seed. It beheld the power to mutate its bearer into a power beyond all reckoning.Though he first tries to evade the forces that beckon him, Varun is drawn deeper and deeper into a pact of peril. He is soon hurtled into a heady adventure and chase that takes him to the Himalayas and then into the mysterious ruins of the legendary King Ravan's palaces in Lanka. Varun digs deep to discover the secret of Rudraksh. And suddenly everything starts making sense.",2.7,1188,https://www.imdb.com/title/tt0366985/
33,Raakh,0290820,1989,Action,Crime,Drama,Hindi,Aamir Khan,Supriya Pathak,Pankaj Kapur,NA,NA,NA,"After witnessing the public humiliation & abuse of a female friend, a young man vows to avenge her by going after the hoodlums responsible. he is guided by a burnt out, cynical cop, who shows him the ropes as well as the realities of vigilante life.",7.5,1132,https://www.imdb.com/title/tt0290820/
34,Vishwatma,0130350,1992,Action,Drama,Thriller,Hindi,Naseeruddin Shah,Sunny Deol,Chunky Panday,NA,NA,NA,"Police inspector Prabhat Singh is sent to Kenya on a mission of apprehending the crime lord Azghar Jurrat. Prabhat's mission is one of duty as well as vengeance: his younger brother had been murdered by Jurrat after Prabhat shot and killed Jurrat's brother in the line of duty. Prabhat is accompanied by an ex-convict Akash Bharadwaj who also seeks revenge against Jurrat for massacring his entire family. In Kenya, their liaison with the local police is Surya Pratap Singh, a tough and honest police officer of Indian origin. Since Jurrat is a respected citizen in Kenya without any police record, the task before Prabhat and Akash is made doubly tough, as they now have to collect solid evidence of Jurrat's criminal empire all the while evading the watchful and suspicious eyes of Surya Pratap Singh. Little does Surya Pratap know that the unknown assailant who caused his wife's death and his daughter's traumatized condition happens to be Nagraj, Jurrat's son.",6.5,1247,https://www.imdb.com/title/tt0130350/
35,Ghulam-E-Musthafa,0185335,1997,Action,Crime,Drama,Hindi,Nana Patekar,Raveena Tandon,Paresh Rawal,Abhay,Sanjay Paghe,NA,"At the behest of Mahesh Verma, Shanta Prasad alias Abba, recruits Ghulam-E-Musthafa, a gangster and hit-man to carry out their nefarious activities. When Dayanand Dixit refuses to sell his property to Verma, Ghulam is asked to move into their house, live with them, and eventually force them to leave. Dayanand and his wife, Bhagyalaxmi, are shocked at this and initially cannot accept a Muslim male to live together with them and eat from their utensils. To make matters worse, Dayanand loses his job, his son, Vikram, is unable to secure admission in any college, and their daughter, Vidya, is unable to get anyone to marry her. Faced with these obstacles, the Dixit family must now arrive at a compromise with Ghulam and his masters - or else be shunned by the rest of the community - leaving Vikram uneducated and Vidya unmarried for life.",6.6,1157,https://www.imdb.com/title/tt0185335/
36,Samrat & Co.,3636776,2014,Mystery,Thriller,NA,Hindi,Rajeev Khandelwal,Madalsa Sharma,Gopal Datt,Narendra Haldankar,Kamlesh Vaghrechkar,NA,"A young, beautiful and rich girl, Dimpy Singh (Madalsa Sharma), approaches Samrat Tilakdhari (Rajeev Khandelwal), a private investigator, with a strange case. How will Samrat unfold the mysteries? Will there be more mysteries while he is investigating? Will the case be solved?",6.3,1263,https://www.imdb.com/title/tt3636776/
37,Mujhe Kucch Kehna Hai,0284328,2001,Drama,Romance,NA,Hindi,Tusshar Kapoor,Kareena Kapoor,Amrish Puri,Nitin Wable,NA,NA,"Karan who is weak in his studies but good at music and masti which always results in fighting with his father, but his life changes when he sees the girl of his dreams. Everywhere he sees her he follows her but one day he goes out of town to find her but couldn't. Later his father sents him to another city but his car breaks down and takes lift and finds it's the same girl whos name is Pooja. During the drive a truck comes and hits the cars which falls in a valley but Karan and Pooja are on the cliff but after saving Pooja his hands slip and falls down. After gaining conscious Pooja realizes it was her fault that Karan died and searches for his body, but he found by a man and is taken to a hospital. He is then reunited with his family, and goes off to search for Pooja. She finds him first and they start a friendship. Later he gets close to her but finds she is going to America for studies but confesses that he loves her and she also loves him and when she comes back they will get married.",5.0,1167,https://www.imdb.com/title/tt0284328/
38,Welcome 2 Karachi,4023852,2015,Action,Comedy,War,Urdu,Arshad Warsi,Jackky Bhagnani,Lauren Gottlieb,Swapnil Bhalerao,Gautam Jadhav,Satya Shekar,NA,4.3,1154,https://www.imdb.com/title/tt4023852/
39,Maine Dil Tujhko Diya,0326600,2002,Action,Romance,NA,Hindi,Sohail Khan,Sameera Reddy,Sanjay Dutt,NA,NA,NA,"A prominent and very wealthy businessman named Mr. Varma lives a middle class life with his two daughters. The eldest one named Ayesha Verma is expected to marry Varma's friend and right-hand named Mr. Chopra's son, Raman. Soon after Ayesha started to go to college and is attracted to Ajay. The two lovers spend beautiful moments together in college and elsewhere, one day Raman spot Ayesha and Ajay together at a rose day party and is jealous and so he complaints to Mr. Varma thereafter Mr. Varma decides to tests Ajay and see if he is ready to become his future son-in-law. But Ajay proves to be hot headed and so he and Mr. Varma became sworn enemies and he asks Ajay to move away from his daughter's life but Ajay does not obey and continues to reach Ayesha, Varma contact a notorious underworld Don, named Bhai-Jaan and Ajay is told that after the 30 days of Ramadan, he is suppose to meet a violent death, and so Ajay is badly beaten up by his goons and is left virtually for dead on the outskirts of Bombay, but Ajay recovers and swear that he will marry Ayesha. Verma contacted the police and Ajay also receives another trashing from them but Ajay escapes and throws a challenge to Chopra and Verma that he will make Ayesha become his bride within 24 hours and will strive hard to fulfill his promise. Along with the help of the college principal and students Ajay and Ayesha is finally married after a big blast with the enemies.",3.8,1164,https://www.imdb.com/title/tt0326600/
